# Energy_GeV  sigma_cm2
1.00000000e-02 0.00000000e+00
1.04700000e-02 0.00000000e+00
1.09700000e-02 0.00000000e+00
1.14900000e-02 0.00000000e+00
1.20300000e-02 0.00000000e+00
1.26000000e-02 0.00000000e+00
1.32000000e-02 0.00000000e+00
1.38200000e-02 0.00000000e+00
1.44800000e-02 0.00000000e+00
1.51600000e-02 0.00000000e+00
1.58800000e-02 0.00000000e+00
1.66300000e-02 0.00000000e+00
1.74200000e-02 0.00000000e+00
1.82400000e-02 1.71872526e-16
1.91000000e-02 0.00000000e+00
2.00100000e-02 4.35607837e-16
2.09500000e-02 2.67781121e-15
2.19500000e-02 2.41996724e-15
2.29900000e-02 4.71255388e-15
2.40700000e-02 7.13954150e-15
2.52100000e-02 9.32333630e-15
2.64100000e-02 1.44188261e-14
2.76500000e-02 1.60561579e-14
2.89600000e-02 1.79945390e-14
3.03300000e-02 2.62556155e-14
3.17700000e-02 4.28291701e-14
3.32700000e-02 5.75777706e-14
3.48500000e-02 4.38358337e-14
3.60700000e-02 0.00000000e+00
3.65000000e-02 5.53843772e-14
3.79600000e-02 0.00000000e+00
3.82200000e-02 7.95301872e-14
3.82600000e-02 0.00000000e+00
4.00300000e-02 1.16766667e-13
4.19300000e-02 1.22740056e-13
4.39100000e-02 1.94430897e-13
4.59900000e-02 2.53084098e-13
4.81600000e-02 3.00290871e-13
5.04400000e-02 3.11989795e-13
5.28300000e-02 2.95751553e-13
5.53300000e-02 4.08420156e-13
5.79500000e-02 5.93621151e-13
6.06900000e-02 6.27385706e-13
6.21400000e-02 0.00000000e+00
6.35600000e-02 1.01545942e-12
6.59100000e-02 0.00000000e+00
6.65100000e-02 0.00000000e+00
6.65700000e-02 1.01925882e-12
6.97200000e-02 1.11621951e-12
7.30200000e-02 1.60203781e-12
7.64800000e-02 1.95447924e-12
8.01000000e-02 2.20882185e-12
8.38900000e-02 2.54616574e-12
8.78600000e-02 2.98798739e-12
8.82100000e-02 0.00000000e+00
9.20100000e-02 3.34266262e-12
9.38700000e-02 0.00000000e+00
9.47700000e-02 0.00000000e+00
9.63700000e-02 3.79978466e-12
1.00930000e-01 5.05577715e-12
1.05710000e-01 5.30609237e-12
1.10710000e-01 7.64472245e-12
1.14280000e-01 0.00000000e+00
1.15950000e-01 8.26357754e-12
1.21430000e-01 9.87918619e-12
1.21820000e-01 0.00000000e+00
1.23030000e-01 0.00000000e+00
1.27180000e-01 1.03804634e-11
1.33200000e-01 1.26423875e-11
1.39500000e-01 1.48007692e-11
1.40340000e-01 0.00000000e+00
1.45540000e-01 3.59575696e-44
1.46100000e-01 1.71137515e-11
1.49780000e-01 0.00000000e+00
1.50930000e-01 5.27571871e-29
1.51280000e-01 0.00000000e+00
1.53020000e-01 2.05518066e-11
1.55290000e-01 0.00000000e+00
1.56520000e-01 5.01570362e-24
1.56830000e-01 0.00000000e+00
1.60260000e-01 2.43369359e-11
1.60990000e-01 3.21781231e-21
1.62310000e-01 1.70937670e-21
1.62590000e-01 0.00000000e+00
1.66910000e-01 8.70957707e-18
1.67840000e-01 2.55253633e-11
1.68320000e-01 6.27134290e-20
1.68560000e-01 0.00000000e+00
1.73040000e-01 1.86805160e-17
1.74560000e-01 7.54730587e-19
1.74750000e-01 0.00000000e+00
1.75780000e-01 3.24060945e-11
1.79400000e-01 4.70652159e-17
1.81020000e-01 4.78157397e-18
1.81160000e-01 8.78072966e-18
1.84100000e-01 3.76678522e-11
1.86000000e-01 1.10431033e-16
1.87720000e-01 2.02009239e-17
1.87810000e-01 1.99825537e-17
1.92810000e-01 4.18328075e-11
1.92830000e-01 2.27524626e-16
1.94670000e-01 6.49168938e-17
1.94710000e-01 3.86497992e-17
1.99920000e-01 4.40801475e-16
2.01850000e-01 7.32225875e-17
2.01880000e-01 1.71817437e-16
2.01940000e-01 4.93699893e-11
2.07260000e-01 7.90617988e-16
2.09260000e-01 1.29197734e-16
2.09360000e-01 3.93993829e-16
2.11500000e-01 5.45231121e-11
2.14880000e-01 1.33293285e-15
2.16950000e-01 2.18422921e-16
2.17110000e-01 8.09889090e-16
2.21500000e-01 6.22969004e-11
2.22780000e-01 2.10570119e-15
2.24910000e-01 3.44857444e-16
2.25150000e-01 1.54021109e-15
2.30970000e-01 3.22390564e-15
2.31990000e-01 7.26585532e-11
2.33170000e-01 5.27710629e-16
2.33480000e-01 2.80455739e-15
2.39450000e-01 4.87796738e-15
2.41730000e-01 7.99875918e-16
2.42130000e-01 4.90826819e-15
2.42960000e-01 7.87545761e-11
2.48250000e-01 7.22356622e-15
2.50600000e-01 1.17527600e-15
2.51100000e-01 8.22191411e-15
2.54460000e-01 9.07943701e-11
2.57380000e-01 1.03613611e-14
2.59800000e-01 1.67271912e-15
2.60390000e-01 1.31051004e-14
2.66500000e-01 1.01755511e-10
2.66840000e-01 1.44871692e-14
2.69330000e-01 2.32042416e-15
2.70030000e-01 1.98687627e-14
2.76640000e-01 1.99617507e-14
2.79110000e-01 1.16154516e-10
2.79220000e-01 3.16723916e-15
2.80030000e-01 2.87897721e-14
2.86810000e-01 2.71138449e-14
2.89470000e-01 4.26236058e-15
2.90400000e-01 4.01290563e-14
2.92320000e-01 1.26555110e-10
2.97350000e-01 3.61491478e-14
3.00100000e-01 5.63466738e-15
3.01160000e-01 5.41495704e-14
3.06160000e-01 1.46627089e-10
3.08280000e-01 4.74113959e-14
3.11110000e-01 7.33269397e-15
3.12310000e-01 7.11423718e-14
3.19610000e-01 6.18138452e-14
3.20640000e-01 1.58825045e-10
3.22530000e-01 9.45474153e-15
3.23870000e-01 9.13836749e-14
3.31350000e-01 8.02241803e-14
3.34370000e-01 1.21065393e-14
3.35820000e-01 1.75231610e-10
3.35860000e-01 1.15065808e-13
3.43530000e-01 1.02532347e-13
3.46650000e-01 1.53348409e-14
3.48300000e-01 1.42315989e-13
3.51710000e-01 1.97897003e-10
3.56160000e-01 1.28630824e-13
3.59370000e-01 1.92048533e-14
3.61190000e-01 1.73225910e-13
3.68350000e-01 2.19744797e-10
3.69250000e-01 1.59771268e-13
3.72560000e-01 2.39878083e-14
3.74570000e-01 2.07856591e-13
3.82820000e-01 1.97647736e-13
