# Energy_GeV  sigma_cm2
1.00000000e-02 0.00000000e+00
1.04700000e-02 0.00000000e+00
1.09700000e-02 0.00000000e+00
1.14900000e-02 0.00000000e+00
1.20300000e-02 0.00000000e+00
1.26000000e-02 0.00000000e+00
1.32000000e-02 0.00000000e+00
1.38200000e-02 0.00000000e+00
1.44800000e-02 0.00000000e+00
1.51600000e-02 0.00000000e+00
1.58800000e-02 0.00000000e+00
1.66300000e-02 0.00000000e+00
1.74200000e-02 0.00000000e+00
1.82400000e-02 0.00000000e+00
1.91000000e-02 0.00000000e+00
2.00100000e-02 1.33879532e-19
2.09500000e-02 4.93715468e-17
2.19500000e-02 4.27968306e-18
2.29900000e-02 1.12991748e-17
2.40700000e-02 2.63413652e-16
2.52100000e-02 3.39020746e-16
2.64100000e-02 7.17837739e-16
2.76500000e-02 2.81577243e-15
2.89600000e-02 2.42031254e-15
3.03300000e-02 3.37083857e-15
3.17700000e-02 7.41242777e-15
3.32700000e-02 9.89144902e-15
3.48500000e-02 1.57529984e-14
3.60700000e-02 0.00000000e+00
3.65000000e-02 1.83356509e-14
3.79600000e-02 0.00000000e+00
3.82200000e-02 2.54428127e-14
3.82600000e-02 0.00000000e+00
4.00300000e-02 3.40420767e-14
4.19300000e-02 3.99055552e-14
4.39100000e-02 7.25764966e-14
4.59900000e-02 9.22868476e-14
4.81600000e-02 1.09568667e-13
5.04400000e-02 1.06731523e-13
5.28300000e-02 1.13329564e-13
5.53300000e-02 1.60512206e-13
5.79500000e-02 2.06089375e-13
6.06900000e-02 1.91942925e-13
6.21400000e-02 0.00000000e+00
6.35600000e-02 3.57911997e-13
6.59100000e-02 0.00000000e+00
6.65100000e-02 0.00000000e+00
6.65700000e-02 3.27654205e-13
6.97200000e-02 4.06366084e-13
7.30200000e-02 4.79138264e-13
7.64800000e-02 6.73160930e-13
8.01000000e-02 7.61962746e-13
8.38900000e-02 8.33317267e-13
8.78600000e-02 9.26155554e-13
8.82100000e-02 0.00000000e+00
9.20100000e-02 1.04432735e-12
9.38700000e-02 0.00000000e+00
9.47700000e-02 0.00000000e+00
9.63700000e-02 1.13913510e-12
1.00930000e-01 1.58365221e-12
1.05710000e-01 1.56408036e-12
1.10710000e-01 2.34466928e-12
1.14280000e-01 0.00000000e+00
1.15950000e-01 2.31504064e-12
1.21430000e-01 2.88302022e-12
1.21820000e-01 0.00000000e+00
1.23030000e-01 0.00000000e+00
1.27180000e-01 2.85411766e-12
1.33200000e-01 3.28014889e-12
1.39500000e-01 3.86358444e-12
1.40340000e-01 0.00000000e+00
1.45540000e-01 3.59575696e-44
1.46100000e-01 4.47348999e-12
1.49780000e-01 0.00000000e+00
1.50930000e-01 5.27571871e-29
1.51280000e-01 0.00000000e+00
1.53020000e-01 5.31266761e-12
1.55290000e-01 0.00000000e+00
1.56520000e-01 5.01570362e-24
1.56830000e-01 0.00000000e+00
1.60260000e-01 6.05308923e-12
1.60990000e-01 0.00000000e+00
1.62310000e-01 1.70937670e-21
1.62590000e-01 0.00000000e+00
1.66910000e-01 0.00000000e+00
1.67840000e-01 6.20207522e-12
1.68320000e-01 6.27134290e-20
1.68560000e-01 4.80406872e-22
1.73040000e-01 0.00000000e+00
1.74560000e-01 7.54730587e-19
1.74750000e-01 7.40096319e-18
1.75780000e-01 7.78954146e-12
1.79400000e-01 3.46819949e-21
1.81020000e-01 4.78157397e-18
1.81160000e-01 1.78990568e-17
1.84100000e-01 8.77358621e-12
1.86000000e-01 1.01759222e-17
1.87720000e-01 2.02009239e-17
1.87810000e-01 4.04093655e-17
1.92810000e-01 9.47805950e-12
1.92830000e-01 1.91683972e-17
1.94670000e-01 6.49168938e-17
1.94710000e-01 8.04998046e-17
1.99920000e-01 3.47544681e-17
2.01850000e-01 1.52124410e-16
2.01880000e-01 1.71817437e-16
2.01940000e-01 1.09240050e-11
2.07260000e-01 5.87319059e-17
2.09260000e-01 2.58473809e-16
2.09360000e-01 3.93993829e-16
2.11500000e-01 1.17990775e-11
2.14880000e-01 9.92891909e-17
2.16950000e-01 4.22086641e-16
2.17110000e-01 8.09889090e-16
2.21500000e-01 1.30471745e-11
2.22780000e-01 1.52980105e-16
2.24910000e-01 6.50804688e-16
2.25150000e-01 1.54021109e-15
2.30970000e-01 2.27168057e-16
2.31990000e-01 1.47507274e-11
2.33170000e-01 9.67850019e-16
2.33480000e-01 2.80455739e-15
2.39450000e-01 3.34164891e-16
2.41730000e-01 1.39969493e-15
2.42130000e-01 4.90826819e-15
2.42960000e-01 1.59492122e-11
2.48250000e-01 4.70130185e-16
2.50600000e-01 1.97472419e-15
2.51100000e-01 8.22191411e-15
2.54460000e-01 1.72472252e-11
2.57380000e-01 6.46311056e-16
2.59800000e-01 2.72250533e-15
2.60390000e-01 1.31051004e-14
2.66500000e-01 1.92495366e-11
2.66840000e-01 8.71211263e-16
2.69330000e-01 3.68067486e-15
2.70030000e-01 1.98687627e-14
2.76640000e-01 1.15490963e-15
2.79110000e-01 2.13372328e-11
2.79220000e-01 4.89277175e-15
2.80030000e-01 2.87897721e-14
2.86810000e-01 1.50838628e-15
2.89470000e-01 6.41135120e-15
2.90400000e-01 4.01290563e-14
2.92320000e-01 2.28218329e-11
2.97350000e-01 1.94527015e-15
3.00100000e-01 8.29700045e-15
3.01160000e-01 5.41495704e-14
3.06160000e-01 2.61667814e-11
3.08280000e-01 2.47912976e-15
3.11110000e-01 1.06061973e-14
3.12310000e-01 7.11423718e-14
3.19610000e-01 3.12211494e-15
3.20640000e-01 2.83578282e-11
3.22530000e-01 1.34151785e-14
3.23870000e-01 9.13836749e-14
3.31350000e-01 3.89649086e-15
3.34370000e-01 1.68084609e-14
3.35820000e-01 3.07828472e-11
3.35860000e-01 1.15065808e-13
3.43530000e-01 4.86538933e-15
3.46650000e-01 2.08715985e-14
3.48300000e-01 1.42315989e-13
3.51710000e-01 3.44368786e-11
3.56160000e-01 6.11164548e-15
3.59370000e-01 2.57078986e-14
3.61190000e-01 1.73225910e-13
3.68350000e-01 3.68870544e-11
3.69250000e-01 7.81508377e-15
3.72560000e-01 3.14267018e-14
3.74570000e-01 2.07856591e-13
3.82820000e-01 1.02107686e-14
