# Energy_GeV  sigma_cm2
1.00000000e-02 0.00000000e+00
2.91300000e-02 0.00000000e+00
3.00300000e-02 0.00000000e+00
3.01800000e-02 0.00000000e+00
3.04700000e-02 0.00000000e+00
4.82600000e-02 0.00000000e+00
5.00600000e-02 0.00000000e+00
5.03500000e-02 0.00000000e+00
5.09300000e-02 0.00000000e+00
5.72100000e-02 0.00000000e+00
6.32800000e-02 0.00000000e+00
6.36200000e-02 0.00000000e+00
6.74000000e-02 0.00000000e+00
7.01000000e-02 0.00000000e+00
7.05300000e-02 0.00000000e+00
7.14000000e-02 0.00000000e+00
8.65300000e-02 0.00000000e+00
9.01300000e-02 0.00000000e+00
9.07000000e-02 0.00000000e+00
9.18600000e-02 0.00000000e+00
1.04410000e-01 0.00000000e+00
1.05660000e-01 0.00000000e+00
1.09700000e-01 0.00000000e+00
1.10160000e-01 0.00000000e+00
1.10880000e-01 0.00000000e+00
1.12330000e-01 0.00000000e+00
1.13890000e-01 0.00000000e+00
1.14350000e-01 0.00000000e+00
1.15100000e-01 0.00000000e+00
1.16570000e-01 0.00000000e+00
1.16590000e-01 0.00000000e+00
1.17240000e-01 0.00000000e+00
1.18250000e-01 0.00000000e+00
1.18710000e-01 0.00000000e+00
1.19480000e-01 0.00000000e+00
1.21020000e-01 0.00000000e+00
1.22770000e-01 0.00000000e+00
1.23220000e-01 1.52200945e-14
1.24020000e-01 0.00000000e+00
1.25620000e-01 0.00000000e+00
1.27460000e-01 0.00000000e+00
1.27910000e-01 2.27753024e-13
1.28730000e-01 0.00000000e+00
1.30390000e-01 0.00000000e+00
1.32340000e-01 0.00000000e+00
1.32780000e-01 6.35085350e-13
1.33630000e-01 0.00000000e+00
1.35340000e-01 0.00000000e+00
1.37400000e-01 0.00000000e+00
1.37830000e-01 1.56456657e-12
1.38710000e-01 0.00000000e+00
1.40480000e-01 0.00000000e+00
1.42650000e-01 0.00000000e+00
1.43080000e-01 2.56977211e-12
1.43990000e-01 0.00000000e+00
1.45810000e-01 0.00000000e+00
1.48100000e-01 0.00000000e+00
1.48520000e-01 3.44072887e-12
1.49460000e-01 0.00000000e+00
1.51350000e-01 0.00000000e+00
1.51620000e-01 0.00000000e+00
1.53770000e-01 0.00000000e+00
1.54180000e-01 3.54286691e-12
1.55150000e-01 0.00000000e+00
1.57100000e-01 0.00000000e+00
1.59640000e-01 0.00000000e+00
1.60040000e-01 5.62151538e-12
1.61050000e-01 0.00000000e+00
1.63060000e-01 0.00000000e+00
1.65750000e-01 8.75381080e-18
1.66140000e-01 8.00069670e-12
1.67170000e-01 0.00000000e+00
1.69250000e-01 0.00000000e+00
1.69850000e-01 0.00000000e+00
1.70850000e-01 0.00000000e+00
1.72090000e-01 1.89141456e-16
1.72460000e-01 1.04522003e-11
1.73530000e-01 0.00000000e+00
1.75680000e-01 0.00000000e+00
1.78670000e-01 1.43554023e-15
1.79020000e-01 1.37567494e-11
1.80130000e-01 0.00000000e+00
1.82350000e-01 0.00000000e+00
1.85500000e-01 6.03840859e-15
1.85830000e-01 1.57454909e-11
1.86980000e-01 0.00000000e+00
1.89280000e-01 0.00000000e+00
1.92590000e-01 1.84590207e-14
1.92910000e-01 1.91942630e-11
1.94090000e-01 0.00000000e+00
1.96470000e-01 0.00000000e+00
1.98830000e-01 0.00000000e+00
1.99950000e-01 4.53685607e-14
2.00250000e-01 2.39595797e-11
2.01470000e-01 0.00000000e+00
2.03930000e-01 0.00000000e+00
2.07600000e-01 9.45906558e-14
2.07870000e-01 2.81359504e-11
2.09130000e-01 0.00000000e+00
2.11670000e-01 0.00000000e+00
2.15540000e-01 1.74107254e-13
2.15780000e-01 3.25879698e-11
2.17090000e-01 0.00000000e+00
2.19710000e-01 0.00000000e+00
2.23130000e-01 0.00000000e+00
2.23780000e-01 2.91877852e-13
2.23990000e-01 3.94258666e-11
2.24470000e-01 0.00000000e+00
2.25340000e-01 0.00000000e+00
2.28050000e-01 0.00000000e+00
2.32330000e-01 4.56724924e-13
2.32520000e-01 4.78820376e-11
2.33910000e-01 0.00000000e+00
2.36710000e-01 0.00000000e+00
2.41220000e-01 6.78369293e-13
2.41370000e-01 5.33354786e-11
2.42810000e-01 0.00000000e+00
2.45700000e-01 0.00000000e+00
