# Energy_GeV  sigma_cm2
1.00000000e-02 0.00000000e+00
2.91300000e-02 0.00000000e+00
3.00300000e-02 0.00000000e+00
3.01800000e-02 0.00000000e+00
3.04700000e-02 0.00000000e+00
3.06100000e-02 0.00000000e+00
4.82600000e-02 0.00000000e+00
5.00600000e-02 0.00000000e+00
5.03500000e-02 0.00000000e+00
5.09300000e-02 0.00000000e+00
5.12200000e-02 0.00000000e+00
5.72100000e-02 0.00000000e+00
6.32800000e-02 0.00000000e+00
6.36200000e-02 0.00000000e+00
6.74000000e-02 0.00000000e+00
7.01000000e-02 0.00000000e+00
7.05300000e-02 0.00000000e+00
7.14000000e-02 0.00000000e+00
7.18300000e-02 0.00000000e+00
8.65300000e-02 0.00000000e+00
9.01300000e-02 0.00000000e+00
9.07000000e-02 0.00000000e+00
9.18600000e-02 0.00000000e+00
9.24400000e-02 0.00000000e+00
1.04410000e-01 0.00000000e+00
1.05660000e-01 0.00000000e+00
1.09700000e-01 0.00000000e+00
1.10160000e-01 0.00000000e+00
1.10880000e-01 0.00000000e+00
1.12330000e-01 0.00000000e+00
1.13050000e-01 0.00000000e+00
1.13890000e-01 0.00000000e+00
1.14350000e-01 0.00000000e+00
1.15100000e-01 0.00000000e+00
1.16570000e-01 0.00000000e+00
1.16590000e-01 0.00000000e+00
1.17240000e-01 0.00000000e+00
1.17340000e-01 0.00000000e+00
1.18250000e-01 0.00000000e+00
1.18710000e-01 0.00000000e+00
1.19480000e-01 0.00000000e+00
1.21020000e-01 0.00000000e+00
1.21790000e-01 0.00000000e+00
1.22770000e-01 0.00000000e+00
1.23220000e-01 0.00000000e+00
1.24020000e-01 0.00000000e+00
1.25620000e-01 0.00000000e+00
1.26410000e-01 4.79160264e-15
1.27460000e-01 0.00000000e+00
1.27910000e-01 0.00000000e+00
1.28730000e-01 0.00000000e+00
1.30390000e-01 0.00000000e+00
1.31210000e-01 5.44343094e-14
1.32340000e-01 0.00000000e+00
1.32780000e-01 0.00000000e+00
1.33630000e-01 0.00000000e+00
1.35340000e-01 0.00000000e+00
1.36190000e-01 1.69627045e-13
1.37400000e-01 0.00000000e+00
1.37830000e-01 0.00000000e+00
1.38710000e-01 0.00000000e+00
1.40480000e-01 0.00000000e+00
1.41360000e-01 4.55611724e-13
1.42650000e-01 0.00000000e+00
1.43080000e-01 0.00000000e+00
1.43990000e-01 0.00000000e+00
1.45810000e-01 0.00000000e+00
1.46720000e-01 7.32465006e-13
1.48100000e-01 0.00000000e+00
1.48520000e-01 0.00000000e+00
1.49460000e-01 0.00000000e+00
1.51350000e-01 0.00000000e+00
1.51620000e-01 0.00000000e+00
1.52290000e-01 9.60620974e-13
1.53770000e-01 0.00000000e+00
1.54180000e-01 0.00000000e+00
1.55150000e-01 0.00000000e+00
1.57100000e-01 0.00000000e+00
1.58070000e-01 9.02267918e-13
1.59640000e-01 0.00000000e+00
1.60040000e-01 0.00000000e+00
1.61050000e-01 0.00000000e+00
1.63060000e-01 0.00000000e+00
1.64060000e-01 1.53711539e-12
1.65750000e-01 6.72166441e-18
1.66140000e-01 0.00000000e+00
1.67170000e-01 0.00000000e+00
1.69250000e-01 0.00000000e+00
1.69850000e-01 0.00000000e+00
1.70290000e-01 2.22728735e-12
1.70850000e-01 0.00000000e+00
1.72090000e-01 1.42202861e-16
1.72460000e-01 0.00000000e+00
1.73530000e-01 0.00000000e+00
1.75680000e-01 0.00000000e+00
1.76750000e-01 2.73072120e-12
1.78670000e-01 1.05967600e-15
1.79020000e-01 0.00000000e+00
1.80130000e-01 0.00000000e+00
1.82350000e-01 0.00000000e+00
1.83460000e-01 3.53782199e-12
1.85500000e-01 4.33627077e-15
1.85830000e-01 0.00000000e+00
1.86980000e-01 0.00000000e+00
1.89280000e-01 0.00000000e+00
1.90420000e-01 3.95579779e-12
1.92590000e-01 1.28407231e-14
1.92910000e-01 0.00000000e+00
1.94090000e-01 0.00000000e+00
1.96470000e-01 0.00000000e+00
1.97650000e-01 4.73573427e-12
1.98830000e-01 0.00000000e+00
1.99950000e-01 3.04008107e-14
2.00250000e-01 0.00000000e+00
2.01470000e-01 0.00000000e+00
2.03930000e-01 0.00000000e+00
2.05150000e-01 5.96315107e-12
2.07600000e-01 6.07018279e-14
